epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,4215.19,1.22988,0.29777,0.1677,0.69737,1.13299,0.86177,0.83329,0.88369,0.59588,0.34186,0.21564,0.27137,0.27004,1.24864,0.94965,0.25979,0.66498,1.14422,0.00158118,0.00158118,0.00158118
28,4370.5,1.23106,0.31555,0.1633,0.69454,1.13124,0.86002,0.82637,0.88057,0.5985,0.34079,0.2164,0.27221,0.27084,1.25209,0.94982,0.22443,0.6673,1.14642,0.00157788,0.00157788,0.00157788
29,4527.11,1.22121,0.35354,0.1748,0.69385,1.1246,0.84575,0.83461,0.8895,0.59231,0.33345,0.22061,0.26012,0.25863,1.26423,0.94798,0.20807,0.69608,1.15499,0.00157458,0.00157458,0.00157458
30,4682.28,1.22607,0.36781,0.17068,0.69011,1.12511,0.86959,0.8223,0.88741,0.59843,0.34707,0.21851,0.2717,0.27092,1.249,0.94865,0.20784,0.67334,1.14482,0.00157128,0.00157128,0.00157128
31,4838.13,1.22082,0.31496,0.16168,0.68894,1.13145,0.86798,0.83122,0.88443,0.60172,0.3393,0.2189,0.26414,0.26263,1.26386,0.94731,0.21258,0.66027,1.14944,0.00156798,0.00156798,0.00156798
32,4993.74,1.21634,0.3457,0.15465,0.67402,1.12183,0.85508,0.84656,0.88753,0.6,0.31771,0.22242,0.26576,0.26417,1.2602,0.9477,0.2069,0.65497,1.15417,0.00156468,0.00156468,0.00156468
33,5148.06,1.19767,0.30709,0.1609,0.68221,1.11511,0.86443,0.83084,0.89137,0.60588,0.32549,0.22092,0.26663,0.26529,1.25115,0.94882,0.20121,0.65257,1.14381,0.00156138,0.00156138,0.00156138
34,5305.03,1.19898,0.31955,0.1504,0.66942,1.11227,0.86918,0.83368,0.88716,0.60495,0.33422,0.22001,0.26783,0.26649,1.24137,0.94821,0.21989,0.64708,1.14013,0.00155808,0.00155808,0.00155808
35,5460.15,1.20521,0.27995,0.14413,0.665,1.11764,0.86688,0.84326,0.8901,0.60177,0.3476,0.21459,0.27692,0.2757,1.26,0.94547,0.25599,0.64342,1.14972,0.00155478,0.00155478,0.00155478
36,5615.75,1.18078,0.26391,0.13263,0.64841,1.10329,0.86498,0.84519,0.89576,0.60853,0.32493,0.22486,0.26346,0.26249,1.23088,0.94732,0.20516,0.65068,1.13272,0.00155148,0.00155148,0.00155148
37,5770,1.18462,0.33094,0.13533,0.6539,1.10424,0.88984,0.82625,0.89116,0.61057,0.33281,0.22199,0.27097,0.26968,1.23541,0.94856,0.23745,0.63951,1.13433,0.00154818,0.00154818,0.00154818
38,5926.29,1.17844,0.3373,0.13752,0.6471,1.10623,0.86096,0.84416,0.8856,0.59888,0.3404,0.2182,0.27221,0.27075,1.2476,0.94756,0.19113,0.65801,1.14491,0.00154488,0.00154488,0.00154488
39,6080.89,1.17983,0.30433,0.13644,0.65054,1.10067,0.852,0.85282,0.89068,0.60584,0.32212,0.22453,0.26755,0.26672,1.2412,0.94761,0.21287,0.63873,1.14075,0.00154157,0.00154157,0.00154157
40,6235.84,1.17398,0.38261,0.13843,0.64289,1.09968,0.86704,0.83926,0.8874,0.60155,0.32547,0.22061,0.2718,0.27052,1.24568,0.95132,0.22529,0.65312,1.14472,0.00153827,0.00153827,0.00153827
41,6390.68,1.17079,0.34517,0.13851,0.63694,1.10325,0.8589,0.84495,0.88405,0.60543,0.33521,0.2176,0.27404,0.27272,1.23572,0.94618,0.1754,0.64951,1.1413,0.00153497,0.00153497,0.00153497
42,6545.76,1.17104,0.3375,0.13037,0.64128,1.09648,0.86491,0.84058,0.88621,0.60343,0.30749,0.22122,0.26303,0.26173,1.23919,0.95014,0.20265,0.6465,1.13679,0.00153167,0.00153167,0.00153167
43,6701.4,1.15077,0.37319,0.12717,0.62607,1.08896,0.86542,0.83826,0.88874,0.60244,0.33877,0.21911,0.2703,0.26881,1.24136,0.95093,0.28204,0.64362,1.13791,0.00152837,0.00152837,0.00152837
44,6857.52,1.15641,0.30804,0.12043,0.62454,1.09252,0.86128,0.85091,0.89205,0.60677,0.32454,0.22122,0.26537,0.26367,1.23291,0.94621,0.29116,0.63961,1.13476,0.00152507,0.00152507,0.00152507
45,7013.08,1.14929,0.30737,0.1224,0.63197,1.09051,0.8777,0.84444,0.89376,0.60989,0.32709,0.22514,0.26149,0.25977,1.21653,0.94764,0.2273,0.63155,1.12962,0.00152177,0.00152177,0.00152177
46,7169.57,1.15765,0.36622,0.12365,0.63042,1.08899,0.87149,0.83996,0.89403,0.61003,0.31867,0.21911,0.26264,0.26134,1.23748,0.94697,0.17428,0.6371,1.13689,0.00151847,0.00151847,0.00151847
47,7325.96,1.1441,0.3275,0.10589,0.61002,1.08384,0.86861,0.84017,0.888,0.6092,0.3328,0.22272,0.26598,0.26433,1.22537,0.9476,0.18903,0.63672,1.13001,0.00151517,0.00151517,0.00151517
48,7481.87,1.12416,0.31492,0.10894,0.61224,1.08213,0.87242,0.84419,0.896,0.61144,0.32032,0.22423,0.26218,0.26101,1.24614,0.94258,0.17355,0.62681,1.14319,0.00151187,0.00151187,0.00151187
49,7637.18,1.13887,0.35503,0.11784,0.61085,1.0826,0.86981,0.85069,0.9005,0.61613,0.33505,0.22182,0.26579,0.26434,1.22101,0.94429,0.17031,0.62595,1.12729,0.00150857,0.00150857,0.00150857
50,7794.78,1.11382,0.31782,0.1082,0.6027,1.07523,0.87299,0.85571,0.89803,0.61406,0.32757,0.22212,0.26545,0.26403,1.23154,0.94537,0.17956,0.61944,1.1342,0.00150527,0.00150527,0.00150527
51,7950.3,1.14071,0.31017,0.11636,0.61651,1.08108,0.87766,0.84958,0.89779,0.61079,0.32259,0.22242,0.26406,0.26157,1.23675,0.94735,0.22305,0.62544,1.13411,0.00150197,0.00150197,0.00150197
52,8106.69,1.12806,0.28517,0.10889,0.60509,1.07967,0.87089,0.84841,0.89366,0.60353,0.30665,0.22363,0.25945,0.25734,1.23142,0.94466,0.17337,0.64026,1.13416,0.00149867,0.00149867,0.00149867
53,8262.54,1.12932,0.31138,0.11427,0.60781,1.07567,0.87402,0.85245,0.89632,0.61279,0.32915,0.21911,0.26719,0.26539,1.23728,0.94329,0.18452,0.61958,1.1349,0.00149537,0.00149537,0.00149537
